LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Type,Value,Rating
C142683,0287010.PXCN,Littelfuse,,-,Fast Blow 32V 1kA Fuse Automotive Holder Blade 10A - Automotive Fuses,YES,5,5\5,0.069900,0.35,Fuse,10A,32V
C223811,K2-1112SW-A4SW-04,Korean Hroparts Elec,,SMD,50mA Lying SPST 100MΩ 100000 Times 250gf@±30gf 12V SMD Tactile Switches,YES,30,10\10,0.064800,1.94,Switch,,
C123946,SS54,Shandong Jingdao Microelectronics,,SMA(DO-214AC),40V 550mV@5A 5A SMA(DO-214AC) Schottky Barrier Diodes (SBD),YES,10,10\10,0.037800,0.38,Diode,,
C3017686,SCR0603J160K,VO,,0603,±5% 160kΩ 0603 Chip Resistor - Surface Mount,YES,100,100\100,0.000800,0.08,Resistor,160kΩ,100mW
C2886385,AP40P05,ALLPOWER(ShenZhen Quan Li Semiconductor),,SOT-23,"40V 5A 65mΩ@10V,3A 2W P Channel SOT-23 MOSFETs",YES,20,10\10,0.057700,1.15,Transistor,,
C269681,RMC06031.2K5%N,TyoHM,,0603,100mW 5% 1.2kΩ 0603 Chip Resistor - Surface Mount,YES,100,100\100,0.002400,0.24,Resistor,1.2kΩ,100mW
C88716,TPS61032PWPR,Texas Instruments,,HTSSOP-16-EP,boost converterType Fixed 5V 1.8V~5.5V 3.6A HTSSOP-16-EP DC-DC Converters,YES,5,1\1,1.540100,7.70,IC,,
C177249,FXL0530-6R8-M,cjiang (Changjiang Microelectronics Tech),,"SMD,5.2x5.4mm","3.5A 6.8uH Molding Choke ±20% 4A SMD,5.2x5.4mm Power Inductors",YES,10,5\5,0.129400,1.29,Coil,6.8uH,3.5A
C2688664,MP34DT05TR-A,STMicroelectronics,,HCLGA-5(3x4),Omnidirectional -26dB 64dB HCLGA-5(3x4) MEMS Microphones,YES,5,1\1,1.546400,7.73,Microphone,,
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,,0603,50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT,YES,100,100\100,0.005700,0.57,Capacitor,1uF,50V
C128413,SN74LVC1G373DBVR,Texas Instruments,,SOT-23-6,1.65V~5.5V D-Typelocking Latch 1ns SOT-23-6 Latches,YES,5,5\5,0.203000,1.02,IC,,
C45783,CL21A226MAQNNNE,Samsung Electro-Mechanics,,0805,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT,YES,40,20\20,0.026300,1.05,Capacitor,22uF,25V
C2879839,SS-12M11G5,XKB Connectivity,,Plugin,Straight 6A SPDT 120V 120V 6A 10000次 Black Plugin Slide Switches,YES,10,5\5,0.339400,3.39,Switch,,
C8413,WJ15EDGK-3.81-3P,Ningbo Kangnex Elec,,P=3.81mm,3 1 3.81mm 1x3P Green Plug P=3.81mm Pluggable System Terminal Block,YES,30,5\5,0.181400,5.44,Terminal Block,,
C8406,WJ15EDGRC-3.81-3P,Ningbo Kangnex Elec,,"Push-Pull,P=3.81mm","3 Bend 1 3.81mm 1x3P Green Board Edge/Receptacle-Close Push-Pull,P=3.81mm Pluggable System Terminal Block",YES,30,10\10,0.036800,1.10,Terminal Block,,
C910846,BSMD2920-500-16V,BHFUSE,,2920,16V 5A 40A 10A 2920 Resettable Fuses,YES,30,5\5,0.168900,5.07,Fuse,5A,16V
C18164540,BSMD1812-400-12V,BHFUSE,,1812,12V 4A 100A 8A 1812 Resettable Fuses,YES,10,5\5,0.124500,1.25,Fuse,4A,16V
C2935469,XF-508P-A,XFCN,,Plugin,"Plugin Fuse Holders",YES,10,5\5,0.239600,2.40,Fuse Holder,,
C81010,CH340B,WCH(Jiangsu Qin Heng),,SOIC-16,2Mbps Transceiver USB 2.0 SOIC-16 USB ICs,YES,2,1\1,0.889400,1.78,IC,,
C142683,0287010.PXCN,Littelfuse,,-,Fast Blow 32V 1kA Fuse Automotive Holder Blade 10A - Automotive Fuses,YES,30,5\5,0.083900,2.52,Fuse Holder,,
C18195411,1N4148,LangJie,,DO-35,"DO-35 Switching Diode",YES,50,50\50,0.010700,0.54,Diode,,
C585171,TS-1010-A3B3-D2,Yuandi,,"Plugin,6.2x6.2mm","Plugin,6.2x6.2mm Tactile Switches",YES,5,5\5,0.101500,0.51,Switch,,
